objectid,filename,title,creator,date,description,keywords,location,latitude,longitude,source,identifier,type,format,language,rights,ingredient,page number,difficulty,servings,total time,file size
JRH001-001,IMG_1882.jpeg,Cover,"Raney-Hutchison, Justin",2025,Photograph of the outside cover of the Cookbook,cover,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,cover,-,-,-,3.9 MB
JRH001-002,IMG_1883.jpeg,Inside_Cover,"Raney-Hutchison, Justin",2025,Photograph of the inside cover of the cookbook,cover,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,cover inside,-,-,-,2.6 MB
JRH001-003,IMG_1884.jpeg,Title_Page,"Raney-Hutchison, Justin",2025,Photograph of the title page of the cookbook,info,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,title_page,-,-,-,1.8 MB
JRH001-004,IMG_1885.jpeg,Table_of_Contents,"Raney-Hutchison, Justin",2025,Photograph of the table of contents,info,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 0,-,-,-,2 MB
JRH001-005,IMG_1886.jpeg,Beef Stew (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 1: Beef Stew,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",flour;black pepper;beef;vegetable oil;red wine;beef stock;chicken stock;bay leaves;onion powder;baby carrots;baking potatoes;salt;red wine vinegar,pg. 1,3/5,4,2:30:00,2.3 MB
JRH001-006,IMG_1887.jpeg,Beef Stew (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 2: Beef Stew,directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 2,3/5,4,2:30:00,1.7 MB
JRH001-007,IMG_1888.jpeg,Chicken Florentine (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 3: Chicken Florentine ,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",chicken breast;garlic powder;salt;black pepper;flour;olive oil;butter;white wine;chicken broth;italian seasoning;heavy whipping cream;baby spinach;parmesan cheese;linguine pasta,pg. 3,5/5,3,1:00:00,2.4 MB
JRH001-008,IMG_1889.jpeg,Chicken Florentine (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 4: Chicken Florentine,directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 4,5/5,3,1:00:00,2.2 MB
JRH001-009,IMG_1890.jpeg,Focaccia Bread (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 5: Focaccia Bread,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",flour;salt;instant yeast;water;olive oil;flaky sea salt,pg. 5,2/5,4,4:00:00,2.3 MB
JRH001-010,IMG_1891.jpeg,Focaccia Bread (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 6: Focaccia Bread,directions;graphic,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 6,2/5,4,4:00:00,2.2 MB
JRH001-011,IMG_1892.jpeg,Chicken Gnocchi Soup (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 7: Chicken Gnocchi Soup,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",chicken breast;celery;onion powder; garlic powder;baby carrots;olive oil;chicken broth;salt; black pepper;thyme;gnocchi;spinach,pg. 7,4/5,3,0:30:00,2.2 MB
JRH001-012,IMG_1893.jpeg,Chicken Gnocchi Soup (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 8: Chicken Gnocchi Soup,directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 8,4/5,3,0:30:00,1.9 MB
JRH001-013,IMG_1894.jpeg,Blank Page,"Raney-Hutchison, Justin",2025,Photograph of Page 9: Blank Page,blank,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 9,-,-,-,1.9 MB
JRH001-014,IMG_1895.jpeg,Chocolate Chip Cookies (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 10: Chocolate Chip Cookies,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",salted butter;granulated sugar;light brown sugar;vanilla;eggs;flour;baking soda;baking powder;salt;chocolate chips,pg. 10,2/5,18,0:40:00,2.2 MB
JRH001-015,IMG_1896.jpeg,Chocolate Chip Cookies (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 11: Chocolate Chip Cookies,directions;graphic,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 11,2/5,18,0:40:00,2.5 MB
JRH001-016,IMG_1897.jpeg,Dijon Mustard Chicken (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 12: Dijon Mustard Chicken,ingredients;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",chicken breasts;italian seasoning;butter;olive oil;baby potatoes;garlic powder;chicken broth;honey dijon mustard;heavy whipping cream;salt;black pepper,pg. 12,3/5,4,0:40:00,2.3 MB
JRH001-017,IMG_1898.jpeg,Dijon Mustard Chicken (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 13: Dijon Mustard Chicken,directions;graphic,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 13,3/5,4,0:40:00,2.4 MB
JRH001-018,IMG_1899.jpeg,Hot Cross Buns (1/2),"Raney-Hutchison, Justin",2025,Photograph of Page 14: Hot Cross Buns (Original),ingredients;original;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 14,3/5,8,1:00:00,2.6 MB
JRH001-019,IMG_1900.jpeg,Hot Cross Buns (2/2),"Raney-Hutchison, Justin",2025,Photograph of Page 15: Hot Cross Buns (Transcript),ingredients;transcription;directions,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",milk;butter;sugar;salt;eggs;vanilla;flour;currants;cinnamon;allspice;yeast;water,pg. 15,3/5,8,1:00:00,2.4 MB
JRH001-020,IMG_1901.jpeg,Bananas Oat Bake,"Raney-Hutchison, Justin",2026,Photograph of Page 16: Bananas Oat Bake,ingredients;directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",banana;brown sugar;eggs;salt;cinnamon;nutmeg;vanilla;baking powder;milk;rolled oats;walnuts,pg. 16,1/5,6,0:45:00,3 MB
JRH001-021,IMG_1902.jpeg,Lasagna Shells (1/2),"Raney-Hutchison, Justin",2026,Photograph of Page 17: Lasagna Shells,ingredients;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",jumbo pasta shells; ground beef;onion powder;tomato sauce;salt;oregano;garlic powder;eggs;cottage cheese;mozzarella;parmesan cheese;parsley;black pepper,pg. 17,3/5,6,0:45:00,3.3 MB
JRH001-022,IMG_1903.jpeg,Lasagna Shells (2/2),"Raney-Hutchison, Justin",2026,Photograph of Page 18: Lasagna Shells,directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 18,3/5,6,0:45:00,3.2 MB
JRH001-023,IMG_1904.jpeg,French Toast Bake (1/2),"Raney-Hutchison, Justin",2026,Photograph of Page 19: French Toast Bake,ingredients;graphic;scrapbook;fact,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",eggs;milk;sweetened brioche;salt;vanilla;brown sugar;cinnamon;rolled oats;butter,pg. 19,1/5,6,2:00:00,3.3 MB
JRH001-024,IMG_1905.jpeg,French Toast Bake (2/2),"Raney-Hutchison, Justin",2026,Photograph of Page 20: French Toast Bake,directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 20,1/5,6,2:00:00,3.1 MB
JRH001-025,IMG_1906.jpeg,Tiramisu (1/2),"Raney-Hutchison, Justin",2026,Photograph of Page 21: Tiramisu,ingredients;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",heavy whipping cream;mascarpone cheese;sugar;vanilla;cold espresso;coffee liqueur; lady fingers; cocoa powder,pg. 21,4/5,9,12:30:00,3.5 MB
JRH001-026,IMG_1908.jpeg,Tiramisu (2/2),"Raney-Hutchison, Justin",2026,Photograph of Page 22: Tiramisu,directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",,pg. 22,4/5,9,12:30:00,3 MB
JRH001-027,IMG_1909.jpeg,January's Salmon Seasoning,Raney-Hutchison January,2026,Photograph of Page 23: January's Salmon Seasoning,ingredients;directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",lemon juice;salt;black pepper;parmesan cheese;italian seasoning;chicken seasoning,pg. 23,1/5,4,00:25:00,2.9 MB
JRH001-028,IMG_1907.jpeg,Honey & Garlic Salmon Glaze,"Raney-Hutchison, Justin",2026,Photograph of Page 24: Honey & Garlic Salmon Glaze,ingredients;directions;graphic;scrapbook,"Iowa City, Iowa",41.6578°,91.5346°,,,Image;StillImage,image/jpeg,eng,"CC. Justine Raney, 2026",honey;soy sauce;garlic powder;olive oil;lemon juice;paprika,pg. 24,2/5,3,00:30:00,2.7 MB